stockSymbol, buyingPrice, buyingDate, sellingPrice, sellingDate, quantity, PnL, ReturnOnEquity, isTradeActive
TORNTPHARM,428.4,2013-10-22 05:30:00.0,525.4,2014-01-29 05:30:00.0,23.34267,2264.2393,22.642393,false
TORNTPHARM,1418.1,2016-03-22 05:30:00.0,1683.3,2018-09-24 05:30:00.0,7.051689,1870.1084,18.701084,false
TORNTPHARM,1605.45,2019-07-16 05:30:00.0,1916.4,2020-01-28 05:30:00.0,6.2287836,1936.8408,19.368408,false
UPL,443.35,2016-01-06 05:30:00.0,570.4,2016-05-18 05:30:00.0,22.555542,2865.6816,28.656816,false
UPL,763.3,2017-12-28 05:30:00.0,581.95,2018-07-12 05:30:00.0,13.101009,-2375.8677,-23.758677,false
UPL,656.1,2018-08-06 05:30:00.0,950.3,2019-06-19 05:30:00.0,15.24158,4484.073,44.840733,false
UPL,603.95,2019-09-30 05:30:00.0,443.6,2020-03-12 05:30:00.0,16.557661,-2655.0215,-26.550215,false
UPL,387.8,2020-05-27 05:30:00.0,500.85,2020-09-02 05:30:00.0,25.78649,2915.163,29.15163,false
ULTRACEMCO,1799.95,2014-02-21 05:30:00.0,2169.7,2014-04-23 05:30:00.0,5.55571,2054.2236,20.542236,false
ULTRACEMCO,2864.15,2015-12-01 05:30:00.0,3953.7,2016-09-09 05:30:00.0,3.4914374,3804.0957,38.040955,false
ULTRACEMCO,3501.65,2017-01-18 05:30:00.0,4269.6,2017-05-22 05:30:00.0,2.8557966,2193.1094,21.931093,false
ULTRACEMCO,4103.45,2018-04-19 05:30:00.0,3166.05,2020-03-19 05:30:00.0,2.4369736,-2284.42,-22.8442,false
UBL,736.25,2014-08-04 05:30:00.0,953.45,2015-02-05 05:30:00.0,13.582343,2950.085,29.50085,false
UBL,935.95,2015-10-06 05:30:00.0,715.5,2016-05-23 05:30:00.0,10.684331,-2355.3613,-23.553612,false
UBL,758.35,2016-07-01 05:30:00.0,929.9,2016-10-17 05:30:00.0,13.186523,2262.1484,22.621485,false
UBL,778.1,2017-05-03 05:30:00.0,1086.45,2017-11-15 05:30:00.0,12.851819,3962.8584,39.628586,false
UBL,1363.9,2019-08-29 05:30:00.0,1048.7,2020-03-13 05:30:00.0,7.331916,-2311.02,-23.1102,false
MCDOWELL-N,2402.35,2014-09-17 05:30:00.0,3261.8,2015-02-02 05:30:00.0,4.1625905,3577.538,35.775383,false
MCDOWELL-N,3252.4,2015-11-02 05:30:00.0,2488.45,2016-01-29 05:30:00.0,3.0746527,-2348.8809,-23.48881,false
MCDOWELL-N,2620.1,2016-03-21 05:30:00.0,2016.15,2016-11-07 05:30:00.0,3.816648,-2305.065,-23.05065,false
MCDOWELL-N,2085.15,2017-01-17 05:30:00.0,2641.65,2017-07-24 05:30:00.0,4.7958183,2668.873,26.688732,false
MCDOWELL-N,576.8,2018-10-31 05:30:00.0,687.95,2020-02-26 05:30:00.0,17.337032,1927.0117,19.270117,false
VEDL,219.05,2015-02-19 05:30:00.0,170.55,2015-07-03 05:30:00.0,45.651676,-2214.1064,-22.141064,false
VEDL,110.9,2015-10-12 05:30:00.0,82.25,2015-12-09 05:30:00.0,90.171326,-2583.4087,-25.834087,false
VEDL,78.15,2016-03-02 05:30:00.0,102.0,2016-04-25 05:30:00.0,127.95905,3051.8232,30.51823,false
VEDL,223.6,2018-09-12 05:30:00.0,162.15,2019-02-01 05:30:00.0,44.722717,-2748.2114,-27.482115,false
VEDL,178.05,2019-03-28 05:30:00.0,136.65,2019-08-07 05:30:00.0,56.163998,-2325.19,-23.2519,false
VEDL,158.95,2019-09-20 05:30:00.0,114.0,2020-02-28 05:30:00.0,62.91287,-2827.933,-28.279331,false
VEDL,92.95,2020-05-15 05:30:00.0,125.95,2020-09-04 05:30:00.0,107.584724,3550.296,35.50296,false
WIPRO,565.4,2015-06-24 05:30:00.0,438.4,2016-11-17 05:30:00.0,17.686592,-2246.1982,-22.461983,false
WIPRO,466.3,2016-12-14 05:30:00.0,259.0,2017-06-13 05:30:00.0,21.445421,-4445.6357,-44.456356,false
WIPRO,299.1,2017-08-31 05:30:00.0,363.45,2019-02-19 05:30:00.0,33.43363,2151.455,21.514551,false
WIPRO,285.3,2019-06-25 05:30:00.0,221.45,2020-02-28 05:30:00.0,35.050827,-2237.9956,-22.379953,false
WIPRO,201.25,2020-05-27 05:30:00.0,350.45,2020-10-14 05:30:00.0,49.68944,7413.666,74.136665,false
ZEEL,336.6,2015-06-05 05:30:00.0,408.65,2015-10-30 05:30:00.0,29.708853,2140.5225,21.405226,false
ZEEL,394.65,2016-04-11 05:30:00.0,554.9,2016-10-06 05:30:00.0,25.33891,4060.5615,40.605618,false
ZEEL,458.85,2018-11-22 05:30:00.0,318.4,2019-01-25 05:30:00.0,21.793613,-3060.9136,-30.609135,false
ZEEL,446.45,2019-02-19 05:30:00.0,331.6,2019-05-08 05:30:00.0,22.398924,-2572.5166,-25.725166,false
ZEEL,360.1,2019-07-18 05:30:00.0,271.6,2019-09-23 05:30:00.0,27.770063,-2457.6504,-24.576504,false
ZEEL,309.5,2019-11-01 05:30:00.0,226.65,2020-02-05 05:30:00.0,32.310177,-2676.8984,-26.768984,false
ZEEL,165.2,2020-05-26 05:30:00.0,203.55,2020-08-31 05:30:00.0,60.53269,2321.4287,23.214287,false
